Descripcion;IdArticu;StockActual;FechaUltimaEntrada;FechaCaducidad;Puc;Pmc;Pvp;ProveedorHabitual;Laboratorio
DESCUENTO PROMOCION;000000;0;NULL;NULL;0;0;2; ; 
PAGO A CUENTA;000001;0;NULL;NULL;14.9;0;50; ; 
ARTICULOS VARIOS;000002;1;NULL;NULL;1.0068;4.05;0; ; 
ALCOHOL BORICADO A SATURACION (5%) 100 ML SOLUCI;000003;0;NULL;NULL;0;0;15.27;NULL; 
DROSERA HOMACCORD 30 ML GOTAS;000004;0;2016-12-01 00:00:00.000;NULL;11.6622;11.66;16.1;0032;E5154
ACIDO ALFA LIPOICO 300 MG 90 COMPR. LAMBERTS;000006;0;2016-12-01 00:00:00.000;NULL;25.4549;25.45;35.95;0032;P1752
BIMANAN SNACK BARR.CRUJ.CER. CHOCO LECHE;000007;0;2017-01-18 00:00:00.000;NULL;0.9107;0.91;1.75; ;P0216
INTECOL  220 GRS. LAB.SAKAI;000008;0;2017-04-12 00:00:00.000;NULL;11.14;11.14;15;0032;P1841
INMUNOSAN 200 ML;000009;0;2016-12-16 00:00:00.000;NULL;14.8162;14.82;19.5;0032; 
VITAMINOR CALMO COMPLEX 60 CAPS.;000010;0;2018-12-27 00:00:00.000;NULL;40.4382;40.44;49.95;0089; 
SULFATO DE COBRE 1/1000 250 ML SOLUCION TOPICA (;000011;0;NULL;NULL;0;0;15.89;NULL; 
ALGAS 104 COMP -ANA Mª LA JUSTICIA-;000012;0;2023-05-08 00:00:00.000;NULL;8.3996;6.73;11.85; ;P1458
PHYTOLOGIST TRAT.ANTICAIDA 12 AMP.;000013;0;2017-04-03 00:00:00.000;NULL;51.1236;51.12;81; ;00003
UREADIN PACK LOCION 400+GEL 200;000014;0;2017-01-13 00:00:00.000;NULL;11.7139;11.71;18.95; ;E0666
BIMANAN SNACK BARR.CRUJIENTE CER. CHOC.NEGRO;000016;0;2017-01-18 00:00:00.000;NULL;0.9107;0.91;1.75; ;P0216
SEBAMED EMULSION SIN JABON CON ACEITE 50ML;000018;0;NULL;NULL;2.07;2.07;2.95; ; 
L-ARGININE/L-ORNITHINE 5007250 MG  50 VEG. SOLGA;000019;0;2017-03-29 00:00:00.000;NULL;17.345;17.35;23.25;0032; 
ADRENALINA BRAUN 1 MG/ML 1 ML 1 AMP;000020;0;2019-04-17 00:00:00.000;NULL;0.2731;0.27;0.5;0019;E0378
BETER CEPILLO PUAS MADERA PEQUEÑO PROFESIONAL RE;000021;0;2017-07-07 00:00:00.000;NULL;6.0576;6.06;8.95;0204;P0823
OLEUM DERMA DI POMPEIA REGEN. Y VITAL. 50 ML;000022;1;2022-09-06 00:00:00.000;NULL;31.2597;31.26;37.85;0032; 
BETER CEPILLO PUAS MADERA GRANDE PROFESIONAL REF;000023;0;2017-07-07 00:00:00.000;NULL;6.8148;6.81;9.95;0204;P0823
NUTRIMETABOL II 50 SOBRES 5 GRMS;000024;0;2017-02-03 00:00:00.000;NULL;24.2072;24.21;30.17;0032; 
INCAROSE MASCARA  PESTAÑAS NIGHT AND DAY;000025;0;2013-03-27 00:00:00.000;NULL;14.4808;14.48;21.95; ;E1090
SEBAMED LOCION ENRIQUECIDA 50ML;000026;0;NULL;NULL;2.07;2.07;2.95; ; 
ALOE VERA 10.000 MG 90 TABL. LAB.LAMBERTS;000027;0;2017-12-19 00:00:00.000;NULL;14.1367;14.14;19.95;0032;P1752
BIO MASK MASCARILLAS LIFTING INSTANTANEO 1 U;000028;0;2013-12-04 00:00:00.000;NULL;4.316;4.28;6.5; ;E1090
SILLA DE RUEDAS BASIC T/440 RUEDA 600 ASSS;000029;0;2017-02-01 00:00:00.000;NULL;209.43;209.43;360; ; 
LECHE CORPORAL MALVA BLANCA 200 ML WELEDA;000030;0;2017-02-03 00:00:00.000;NULL;11.6104;11.61;15.9;0032;P0205
OBSEQUIO PEDIASURE CHOCOLATE 400G;000031;0;NULL;NULL;0;0;0; ; 
MCDAVID CINTA EPICONDILITIS T. UNICA;000032;0;2016-04-27 00:00:00.000;NULL;13.1842;13.18;22.5;0026; 
MCDAVID PERNERA T-XL;000033;1;2022-08-04 00:00:00.000;NULL;27.7943;27.79;30.95; ; 
NORADRENALINA  NORMON 1 MG/ML 10 ML;000034;0;2019-05-17 00:00:00.000;NULL;3.3100375;3.31;5.45; ;E0378
OBSEQUIO BIODERMA SENSIBIO 100ML AGUA MICELAR;000035;1;NULL;NULL;0;0;0; ; 
SYMBIO FLOR 2 50ML ACTIBIOS;000036;0;2023-05-15 00:00:00.000;NULL;14.56;13.07;17.9;0032; 
SYMBIO FLOR 1 GOTAS 50ML -SYMBIOPHARM-;000037;0;2022-08-05 00:00:00.000;NULL;13.5;13.5;18.5;0032; 
OBSEQUIO ENSURE CHOCOLATE 400G;000038;0;NULL;NULL;0;0;0; ; 
OBSEQUIO ENSURE VAINILLA 400G;000039;0;NULL;NULL;0;0;0; ; 
OBSEQUIO PEDIASURE VAINILLA 400G;000041;0;NULL;NULL;0;0;0; ; 
VOLUVEN 6%  SOLUC. PARA PERFUSION 1 BOLSA;000042;0;2018-12-13 00:00:00.000;NULL;11.82;11.82;17.95; ;P0212
ENZIMAS DIGESTIVAS 100 TABL. LAB.SOLGAR;000043;0;2022-09-22 00:00:00.000;NULL;14.09575392;14.1;25.95;0221;00007
BICARBONATO SODICO BRAUN 1M 1 AMP 10 ML;000044;0;2018-11-20 00:00:00.000;NULL;1.8392;1.84;2.95; ;P0378
CREMA DE DIA GRANADA WELEDA 30 ML;000045;0;2016-10-11 00:00:00.000;NULL;17.7059;17.71;24.25;0032;P0205
OBSEQUIO COBAS PERFIL LIPIDICO;000047;0;NULL;NULL;0;0;0; ; 
LIENDRERA ELECTRICA BUG ZAPPER PEINE (DIHOMA);000049;0;2017-03-27 00:00:00.000;NULL;20.052;20.05;29.95;0114;P0402
OSITO SANITO PESCADO OMEGA 3 50 GELATINAS MASTIC;000050;0;2016-11-02 00:00:00.000;NULL;10.8949;10.89;15.4;0032;P0647
CAUDALIE THE  CREMA DE MANOS Y UÑAS 30 CC VIAJES;000051;0;NULL;NULL;2.45;2.45;3.5; ; 
LIERAC LUMINESCENCE CREMA CORRECTORA 50 ML;000052;1;2013-07-12 00:00:00.000;NULL;37.2334;37.23;0.52; ;00002
ARKOFLEX COLAGENO 360 G SABOR NEUTRO;000053;0;NULL;NULL;13.97;13.97;19.95; ; 
PROPOLIS 1.000 MG 30 CAPS. MARNYS;000054;1;2022-09-26 00:00:00.000;2025-05-01 00:00:00.000;15.6183;15.62;21.1;0032; 
OBSEQUIO SENSILIS CONTORNO UPGRADE;000055;0;NULL;NULL;0;0;0; ; 
OSITO SANITO DORMILON 150 ML -TONGIL-;000056;1;2023-04-27 00:00:00.000;2024-11-01 00:00:00.000;6.9402;6.94;9.8;0032;P0647
OSITO SANITO DEFENSOR 200 ML;000057;1;2023-08-22 00:00:00.000;2025-01-01 00:00:00.000;6.9402;6.94;9.4;0032;P0647
ADENOSINA 6 MG/2 ML VIAL;000058;0;2017-05-10 00:00:00.000;NULL;5.9043;5.9;8.95; ;P0314
REGALO SOMATOLINE;000059;0;2017-02-25 00:00:00.000;NULL;0;0;0; ; 
MUSTELA PACK DUO CREMA BALSAMO 100 ML;000060;0;2023-05-29 00:00:00.000;NULL;10.5661;10.57;15.95; ;P0530
SOMATOLINE DUPLO USE&GO SPRAY 2*200ML;000061;0;2017-02-24 00:00:00.000;NULL;33.8623;33.86;49.9; ;P1635
GAFAS LED+ CON LUCES;000062;0;2013-07-31 00:00:00.000;NULL;12.4899;12.49;9.95; ; 
TUBO ENDOTRAQUEAL Nº 7,5;000063;0;2017-02-14 00:00:00.000;NULL;3.9248;3.92;5.95; ; 
TUBO ENDOTRAQUEAL Nº 8;000064;0;2017-02-14 00:00:00.000;NULL;3.9248;3.92;5.95; ; 
SONDA ASPIRACION Nº 14;000065;0;2017-02-22 00:00:00.000;NULL;1.2872;1.29;1.75; ; 
OBSEQUIO CAMALEON LIP SCRUB MELON/FRESA;000066;0;NULL;NULL;0;0;0; ; 
TUBO ALARGADERA ASPIRACION (ASPISEND) 1U.;000067;0;2018-11-20 00:00:00.000;NULL;1.671;1.67;2.5; ; 
ALMOHADA POSTURAL INFANTIL;000068;0;2018-06-13 00:00:00.000;NULL;21.0619;21.06;34.95;0115;E5136
PHYTO PHYTARGENT SHAMPOO 200 ML;000069;0;2015-02-05 00:00:00.000;NULL;8.4529;8.45;13.95; ;00003
UBICHINUM COMP. 5  AMP.;000070;0;2017-05-10 00:00:00.000;NULL;10.7217;10.72;14.8;0032;E5154
ACIDOPHILUS PLUS 30 CAPS. LAB.SOLARAY;000071;0;2017-02-27 00:00:00.000;NULL;8.4107;8.41;11.98;0032; 
OBSEQUIO CAMALEON LIP SCRUB FRESA;000072;0;NULL;NULL;0;0;0; ; 
DARCO ELASTIC TAPE 5CMX5M;000073;0;2017-03-03 00:00:00.000;NULL;8.7226;8.72;13.95;0021; 
VITAMINOR SUPER OMEGA 3 COMPLEX 60 PERLAS;000074;0;2016-03-15 00:00:00.000;NULL;35.2024;35.2;42.5;0089; 
SIROPE SAVIA 500 ML (JARABE ARCE) LAB. MADAL BAL;000075;0;2018-06-18 00:00:00.000;NULL;19.46;19.46;26.7;0032; 
MICO-MAI 70 CAPS. 620 MG;000077;0;2017-02-28 00:00:00.000;NULL;39.1571;39.16;49.5;0032;P0773
BOSWELLIA-RESINA 60 VEG.;000078;0;2023-01-25 00:00:00.000;NULL;23.3272;23.33;31.95;0032; 
STIMULIN INFANTIL 20 AMP.;000079;0;2017-02-28 00:00:00.000;NULL;17.9911;17.99;24;0032; 
SOLIDAGO COMP. 5 AMP.;000080;0;2017-05-10 00:00:00.000;NULL;13.3655;13.37;18.45;0032;E5154
CHINASOR 21 SI JUN ZI WAN 30 C.;000081;0;2018-01-17 00:00:00.000;NULL;19.6398;19.64;24.95;0032;E0905
EUCERIN DESODORANTE  ROLL-ON DUPLO;000082;0;2015-09-24 00:00:00.000;NULL;7.784;7.93;12.95; ;P0564
SOLUCION DE LUGOL 60 ML;000083;0;NULL;NULL;10.12;10.12;12.5; ; 
PROBIOVANCE PREMIUM 30 CAPS. LAB.INOVANCE;000084;0;2023-04-17 00:00:00.000;NULL;34.9239;34.92;43.1;0032; 
PROTEOCHOC 36 CAPS. LAB.PILEJE;000085;0;2017-06-13 00:00:00.000;NULL;19.896;19.9;24.95;0032;P1175
ALCOHOL BORICADO A SATURACION 30 ML;000086;9;2023-10-18 00:00:00.000;2024-01-01 00:00:00.000;1.88;1.95;6.95;0285; 
GLUTAVANCE 150 GR POLVO -INOVANCE-;000087;1;2023-08-29 00:00:00.000;2025-11-01 00:00:00.000;22.681;22.68;28;0032; 
VITAMIN B12 1.000 MICROGR. 60 TABL. LAMBERTS;000088;0;2021-04-08 00:00:00.000;NULL;14.1367;14.14;19.95;0032;P1752
ECHINACEA COMP. HEEL 5 AMP.;000089;0;2017-03-27 00:00:00.000;NULL;10.6485;10.65;14.7;0032;E5154
GAFAS DISNEY/HELLO KITTY/GORMITI;000090;0;2011-03-30 00:00:00.000;NULL;8.0276;8.06;14.95;0059;P0564
CARDO MARIANO (MILK THISTLE)100 CAPS SOLGAR;000091;1;2023-10-23 00:00:00.000;2025-08-01 00:00:00.000;26.5355;26.54;38.95;0221;00007
CAUDALIE VINEXPERT 30 CAPSULAS;000092;0;2017-04-03 00:00:00.000;NULL;16.0416;16.04;24.95; ; 
MICO-REI 70 CAPS.;000093;0;2017-05-16 00:00:00.000;NULL;42.0869;42.09;55.4;0032;P0773
COMPOSOR 05 SEDANER (VALERIAN) COMPLEX XXI 50 ML;000094;2;2022-03-02 00:00:00.000;2024-12-01 00:00:00.000;8.3996;8.4;11.89;0032;E0905
FITOSOL INF. SALVIA 20 FILTROS;000097;0;2021-01-19 00:00:00.000;NULL;3.0078;3.01;4.15;0032;P0754
COENZYME COMP. 5 AMP.;000098;0;2017-05-10 00:00:00.000;NULL;23.98;23.98;34.25;0032;E5154
BEETROOT EXTR. REMOLACHA 500 MG 90 VEG. (SOLGAR);000099;0;2023-11-08 00:00:00.000;NULL;14.4152;14.42;21.95;0221;00007
UNIQUE PINK COLLAGEN 300 GRS.;000100;4;2023-09-05 00:00:00.000;2025-02-01 00:00:00.000;23.7653;26.42;79; ;P2040
EUCERIN DUPLO PROTECTOR LABIAL;000101;4;2023-08-29 00:00:00.000;NULL;5.0817;5.08;7.75; ;P0564
RACINES TERRESTRES 90 CAPS. LAB.SERPENS;000104;0;2018-03-12 00:00:00.000;NULL;20.052;20.05;27.61;0032; 
LACTIBIANE H-PY 42 CAPS.;000105;0;2019-10-29 00:00:00.000;NULL;24.2184;24.22;29.95;0032;P1175
MUSTELA DUPLO COLONIA SIN ALCOHOL;000107;0;2021-07-23 00:00:00.000;2024-08-01 00:00:00.000;11.6987;11.7;13.95; ;P0530
MCT PREMIUM EXTRA 500 ML MEGA PLUS;000109;0;2020-06-04 00:00:00.000;NULL;13.0115;13.01;18.75;0032;P0117
GAFAS HORUS +1.50;000110;0;2023-09-21 00:00:00.000;NULL;12.5548;12.55;19.95;0204;P0130
ORTHOD3 1000 UI GOTAS 20 ML LAB.ORTHONAT;000111;0;2019-01-29 00:00:00.000;NULL;20.5199;20.52;26.7; ; 
ZINC-COBRE (ZN-CU) OLIG. 150 ML;000112;0;2021-07-02 00:00:00.000;2023-10-01 00:00:00.000;12.7553;12.76;17.99;0032;P0819
VITAMIN E 268 MG (400 UI) 250 CAPS. LAB.SOLGAR;000113;0;2023-10-23 00:00:00.000;NULL;44.2731;44.27;67.45;0221;00007
G.I.DIGEST 90 CAPS.  LAB. DOUGLAS;000114;0;2020-07-28 00:00:00.000;NULL;35.8597;35.86;50.58;0032;E5080
HAWTON (ESPINO BLANCO) 2500 MG 60 TABL.;000115;0;2023-02-24 00:00:00.000;NULL;14.8608;14.86;20.98;0032;P1752
ORBIT WHITE CHICLE;000116;0;2017-08-29 00:00:00.000;NULL;0.557;0.56;0.9;0021; 
VIT.C 36 COMPR. SORIA NAT.;000117;0;2017-04-25 00:00:00.000;NULL;6.4055;6.41;8.75;0032;E0905
DOBUTAMINA 12,5 MG/ML 20 ML 250 MG;000118;0;2017-04-26 00:00:00.000;NULL;3.6;3.6;5.95; ; 
ERGY IM 60 CAPS LAB.NUTERGIA;000120;3;2023-04-26 00:00:00.000;2024-05-01 00:00:00.000;21.87896;21.88;33.95;0008;00004
LIPO F+ 90 COMPR. LAB.INOVANCE;000121;0;2020-08-07 00:00:00.000;NULL;30.791;30.79;38;0032; 
BETAINE 100 TABL. LAB. SOLGAR;000122;1;2023-11-08 00:00:00.000;2025-05-01 00:00:00.000;9.9257;9.93;14.95;0221;00007
ERGYLINE 100 PERLAS LAB. NUTERGIA;000123;0;2019-11-04 00:00:00.000;NULL;13.8626;13.86;23;0008;00004
IZAR 34 60 COMPR. ERLINGEN;000124;0;2017-06-07 00:00:00.000;NULL;19.3613;19.36;26.55;0032; 
SMINT LIMON;000125;0;2018-05-25 00:00:00.000;NULL;1.39;1.39;2.5;0021; 
SYNTOCINON 10 UI/ML 1 ML AMP. (629485);000126;0;2018-05-01 00:00:00.000;NULL;0.5329;0.53;0.95; ; 
OMEPRAZOL NORMON 40 MG VIAL (600631);000127;0;2018-09-04 00:00:00.000;NULL;3.1298;3.13;4.95; ;E0426
ACEITE DE PESCADO CONC. 1.000 MG (FISH OIL) SOLG;000128;0;2017-06-19 00:00:00.000;NULL;19.2054;19.21;25.75;0032; 
ACEITE DE ROSA MOSQUETA 60 PERLAS TONGIL;000129;0;2017-06-20 00:00:00.000;NULL;8.433;8.43;11.9;0032;P0647
CLORURO DE MAGNESIO 100 COMPR. PLANTIS;000130;0;2017-06-20 00:00:00.000;NULL;5.3918;5.39;6.9;0032;P0117
KLORANE CHAMPU CAPUCINE 200 ML*2 OFERTA;000131;0;2016-09-20 00:00:00.000;NULL;8.8845;8.8;13.95; ;P0147
ARCILLA BLANCA KAOLIN 500 GRS.;000132;0;2019-01-29 00:00:00.000;NULL;7.4458;7.45;10.2;0032; 
BARDANA 50 ML GOTAS SORIA NATURAL;000133;0;2018-03-16 00:00:00.000;NULL;8.5564;8.56;11.77;0032;P0450
L-LYSINE 500 MG 90 CAPS. NATURE'S PLUS;000135;0;2019-02-06 00:00:00.000;NULL;12.6996;12.7;17.95;0032; 
L-114 TRAST.DIGESTIVOS LAB.LEHNING 60 ML.;000136;0;2017-06-29 00:00:00.000;NULL;12.4355;12.44;17;0032;P1078
POLEN BOTE 225 GR MIELAR;000137;0;2023-10-17 00:00:00.000;NULL;6.6381;6.64;7.5; ; 
NIVELCOL 120 CAPS. -TONGIL-;000138;0;2023-05-02 00:00:00.000;NULL;20.9726;20.97;29.3;0032; 
COBRE-ORO-PLATA 4 CH 30 AMP. 2 ML LAB.BIOTICA;000139;0;2017-07-04 00:00:00.000;NULL;17.3888;17.39;24;0032;P1233
LEUKOMED 5X7,2 CM 1 APOS. (IMPERM.);000143;0;2017-03-20 00:00:00.000;NULL;0.6684;0.66;0.75;0021; 
LEUKOMED 8X10 1 U (IMPERM.);000144;0;2017-03-20 00:00:00.000;NULL;1.2254;1.23;1.95;0021; 
LEUKOMED T PLUS 10X 20 (IMPERM.) 1 APOS.;000145;0;2016-10-11 00:00:00.000;NULL;1.0957;1.1;1.5;0021;P8011
LEUKOMED T PLUS APOS. 8 X 15 CM (IMPERM.);000146;0;2017-03-20 00:00:00.000;NULL;1.5596;1.56;2.5;0021; 
SANITAN-PAD 9.7 X 10 CM (IMPERM.);000147;0;2013-10-21 00:00:00.000;NULL;0.4456;0.45;0.75;0021; 
CITRATO MAGNESIO 120 CAPS. SOLGAR;000148;8;2023-11-08 00:00:00.000;2025-05-01 00:00:00.000;19.6844;19.68;29.95;0221;00007
A.E. DE OREGANO INFLO. COMPACTAS 10 ML PRANAROM;000149;3;2023-11-03 00:00:00.000;2027-12-01 00:00:00.000;7.954;7.95;12.95;0032;P0816
OMEGABIANE 100 CAPS.;000151;0;NULL;NULL;20.97;20.97;29.95; ;P1175
DIETKUM SBEL10 OBESIDAD INFUSIONES 20U -DIETISA-;000152;0;2022-05-24 00:00:00.000;NULL;3.6762;3.68;4.95;0032; 
VITAMIN K2 GARDEN 60 CAPS.;000153;0;2023-10-24 00:00:00.000;NULL;20.2191;20.22;27.85;0032; 
ZUECOS SUECOS MOD.ODEN BLANCO Nº39;000158;0;2019-10-15 00:00:00.000;NULL;23.8644;23.86;39.95; ; 
CAFE VERDE (GREEN COFFE) LIQ. 500 ML;000159;0;2017-07-31 00:00:00.000;NULL;17.6012;17.6;23.15;0032;P1158
SILICEA 12DH GRAN.;000160;0;2017-07-31 00:00:00.000;NULL;3.5843;3.58;4.95;0020;P0858
UVA URSI COMPLEJO Nº9 30 ML GOTAS;000161;0;2018-09-24 00:00:00.000;NULL;8.663;8.66;12;0032;P1078
ELIXIR  DE GRANADA 500 ML LAB. VITAE;000162;0;2017-08-02 00:00:00.000;NULL;33.498;33.5;47.25;0032;P0184
LABOLIFE 2LVERU;000163;0;2017-08-08 00:00:00.000;NULL;35.73;35.73;47.5;0032; 
ALOE VERA 60 CAP.;000165;0;2021-03-05 00:00:00.000;NULL;13.8247;13.82;19.95;0032; 
DOUXO CALM CHAMPÚ PIEL SENSIBLE 200 ML -CEVA-;000166;0;2019-08-30 00:00:00.000;NULL;16.5446;16.54;23.95; ;V0008
HYALUROVANCE 15 STICKS LAB.INOVANCE;000167;0;2023-10-17 00:00:00.000;NULL;36.3721;36.37;44.9;0032;P2027
COMPLEJO LACTASA 200 MG 60 CAPS. LAB.LAMBERTS;000168;0;2016-11-08 00:00:00.000;NULL;18.6484;18.8;26.85;0032;P1752
CONSTIFIN 500 ML JBE. INTEGRALIA;000169;0;2017-11-03 00:00:00.000;NULL;16.5429;16.54;22.9;0032; 
GINKGO-BILOBA 100 COMPR. LAB.SOTYA;000170;1;2022-02-17 00:00:00.000;2025-11-01 00:00:00.000;4.4783;4.48;5.75;0032;P0891
ERGYFEM  250 ML NUTERGIA;000171;1;2023-03-16 00:00:00.000;2024-05-01 00:00:00.000;11.541;11.54;17.95;0008;00004
ZUECOS SUECOS ODEN BLANCO T.37;000173;0;2018-02-28 00:00:00.000;NULL;24.9876;24.99;39.95;0026; 
VITAMINA E NATURAL 400UI 60 PERLAS -SURAVITASAN-;000174;0;2020-02-26 00:00:00.000;NULL;16.4872;16.49;24.65;0032; 
OLEOMEGA 7 120 PERLAS -MUNDONATURAL-;000177;0;2020-11-17 00:00:00.000;NULL;21.23;21.23;29.95;0032;P1193
ATOPIVET 60 CAPS.;000178;0;2017-10-06 00:00:00.000;NULL;22.0238;22.02;31.95;0069;E0768
INTES1+BAC 30 CAP;000179;0;2017-02-07 00:00:00.000;NULL;31.114;31.11;39.9;0032; 
AZUFRE MICROGRAN. NEO 50 CAPS.;000180;0;NULL;NULL;9.86;9.86;14.09;0032;P0732
KLEAROTIC 118 ML SOL.OTICA;000182;0;2017-09-04 00:00:00.000;NULL;15.674;15.67;22.95;0069; 
ZHINYIN 50 ML CREMA PLANTAPOL;000183;0;2017-12-18 00:00:00.000;NULL;7.9127;7.91;9.75;0032; 
FLEXIUM MUSCULAR 60 CAPS.M LAB. GRAMAR;000184;0;2017-09-25 00:00:00.000;NULL;21.5559;21.56;28.95;0032; 
ERGYKID MAG 14 SOBRES;000185;0;2021-10-24 00:00:00.000;NULL;7.2343;7.23;10.95;0008;00004
MELATOVIT 1 MG 60 CAPS. LAB.MARNYS;000187;0;2017-09-26 00:00:00.000;NULL;8.2325;8.23;12.3;0032; 
CURCUMA PLUS 100  CAPS. LAB.ALFA HERBAL;000188;0;2017-09-26 00:00:00.000;NULL;23.0709;23.07;26.95;0032; 
ZUECOS SUECOS ODEN FUSIONL T.38;000189;1;2021-04-08 00:00:00.000;NULL;36.4339;36.43;44.95; ; 
PICOLINATO CROMO 200 MCGR. 90 CAPS. LAB.SOLGAR;000190;1;2023-11-08 00:00:00.000;2024-05-01 00:00:00.000;14.7159;14.13;22.45;0221;00007
SERRA-PLEX 30 CAPS. SURA VITASAN;000191;0;2019-10-08 00:00:00.000;NULL;15.2618;15.26;21.1;0032; 
ALOEDENT TRIPLE ACCION PASTA DENT.;000192;0;2021-11-29 00:00:00.000;NULL;5.1616;5.16;8.97;0032; 
PRANAROM AROMANOCTIS SPRAY SUEÑO-RELAJ. 100 ML;000194;0;2018-11-22 00:00:00.000;NULL;11.25;11.25;17.95;0026;P0816
BIO ESSENTIAL OILS EUCALIPTO AC.ESENCIAL 10 ML;000195;0;2017-10-10 00:00:00.000;NULL;6.0713;6.07;7.99;0032;P1997
NORMODIGEST JUNIOR 10 VIALES LAB.DERBOS;000196;0;2017-10-11 00:00:00.000;NULL;14.0253;14.03;18.69;0032; 
NIMBEX (CISATRACURIO) 5 ML 1 AMP;000197;0;2016-04-26 00:00:00.000;NULL;2.92;2.92;4.5; ; 
ANECTINE (MIOFLEX) 100MG 2 CC AMP.;000198;0;2018-09-27 00:00:00.000;NULL;0.69;0.69;1.25; ; 
TAURINA 500 MG 50 TABL. LAB. SOLGAR;000199;0;2023-05-30 00:00:00.000;NULL;9.1794;9.18;13.95;0221;00007
STOP PIOJOS KIT PELO LARGO;000200;0;2017-01-13 00:00:00.000;NULL;10.6897;10.65;19.95; ;P1016
ALCOHOL BORICADO 2% 50 ML SOLUCION OTICA (FM);000201;0;NULL;NULL;0;0;13.31;NULL; 
NORMODIGEST CLASSIC 20 VIALES;000202;0;2017-10-13 00:00:00.000;NULL;21.5559;21.56;28.71;0032; 
HIERRO GENTLE 20 MG. 90 CAPS. LAB.SOLGAR;000203;2;2023-08-31 00:00:00.000;2025-05-01 00:00:00.000;10.2488;10.25;17.45;0221;00007
MALE MULTIPLE 60 COMPR. LAB.SOLGAR;000204;0;2023-10-23 00:00:00.000;NULL;16.71;16.71;25.45;0221;00007
VISION GUARD PLUS 60 CAPS. LAB.SOLGAR;000205;0;2020-03-23 00:00:00.000;NULL;25.7530064;24.35;44.45;0221;00007
OMNIUM 30 COMPR. LAB.SOLGAR;000206;0;2019-11-18 00:00:00.000;NULL;13.44;13.69;24.5;0221;00007
ANTIFAZ GEL FRIO/CALOR ANOTA;000207;0;2018-02-08 00:00:00.000;NULL;13.22;13.22;19.5;0115; 
MINOXIDIL 2% 125 ML;000208;2;2023-08-10 00:00:00.000;2024-02-01 00:00:00.000;7.535;7.54;14.95;0099; 
MINOXIDIL 5 % 125 ML;000209;11;2023-11-02 00:00:00.000;2024-04-01 00:00:00.000;7.53;7.53;14.95;0099; 
VASELINA SALICILICA 4% 100 G POMADA (FM);000210;0;NULL;NULL;0;0;13.91;NULL; 
VASELINA SALICILICA 6% 100 G POMADA (FM);000211;0;NULL;NULL;0;0;14;NULL; 
VASELINA SALICILICA 7% 100 G POMADA (FM);000212;0;NULL;NULL;0;0;14.05;NULL; 
ACEITE DE OREGANO SILVESTRE 60 PERLAS LAB.SOLGAR;000213;3;2023-03-02 00:00:00.000;2024-10-01 00:00:00.000;15.4390374;15.44;26.95;0221;00007
LIERAC GOMMAGE SENSORIEL 175 ML;000214;0;2015-09-01 00:00:00.000;NULL;14.6101;14.61;24.5; ;00002
SOLGAR 7 30 CAPS. LAB.SOLGAR;000215;2;2023-11-08 00:00:00.000;2025-06-01 00:00:00.000;21.7341;21.73;32.95;0221;00007
ZUECOS SUECOS ODEN AZUL T.39;000216;0;2017-10-20 00:00:00.000;NULL;24.2809;24.28;39.95; ; 
SEBAMED CANASTILLA BEBE ROSA Y AZUL;000217;0;2014-10-01 00:00:00.000;NULL;21.8074;21.81;34.95; ;P0752
ZUECOS SUECOS ODEN AZUL T.40;000218;0;2017-10-20 00:00:00.000;NULL;24.2809;24.28;39.95; ; 
ELIMINEX 500 GR. POLVO;000219;0;2016-09-22 00:00:00.000;NULL;23.3272;23.33;32.95;0032; 
ERGYORTHO 100 CAPS. NUTERGIA;000220;0;2016-09-14 00:00:00.000;NULL;19.52;19.52;25.46;0008;00004
SPIRULINA 200 COMP. DE 390 MG EL GRANERO;000221;0;2017-10-23 00:00:00.000;NULL;9.1348;9.13;11.95;0032; 
BERGAMOTA ACEITE ESENCIAL 12 ML COSMOS NATURAL;000222;0;2017-10-23 00:00:00.000;NULL;7.2313;7.23;9.86;0032; 
BUPIVACAINA 0,5% AMP. 10 ML (INIBSACAIN);000224;0;2019-03-08 00:00:00.000;NULL;0.5643;0.56;0.9; ;P0378
BICARBONATO SODICO 1 G 100 CAPSULAS (FM);000225;0;NULL;NULL;0;0;43.42;NULL; 
EVENING (ONAGRA-PRIMROSE OIL)1.300MG 30CA;000226;6;2023-11-08 00:00:00.000;2025-05-01 00:00:00.000;15.4066;15.41;24.75;0221;00007
PHOSPHOR HOMACCORD 30 ML GOTAS;000227;0;2016-11-17 00:00:00.000;NULL;11.6622;11.66;16.1;0032;P0550
L-CARNITINA  60 CAPS. AMINOACIDOS;000228;0;2017-10-25 00:00:00.000;NULL;19.6621;19.66;26.95;0032; 
VITAMINA D3/K2 60 CAPS. LAMBERTS;000229;0;2021-12-23 00:00:00.000;NULL;21.8121;21.81;30.8;0032;P1752
GASA ESTERIL80X45 SUCLIBA 2 UNID;000230;6;2022-10-20 00:00:00.000;NULL;0.4456;0;1.1;0021; 
CIRCULAR 14 FCOS, 10 ML NOVADIET;000231;0;2017-12-05 00:00:00.000;NULL;14.9833;14.98;18.2;0032; 
SPIGELIA ANTHELMIA 9 CH GRAN. DOBLE TUBO;000232;0;2017-10-25 00:00:00.000;NULL;5.7579;5.76;7.95;0020;P0858
ALOE VERA ESI GEL 100 ML;000233;0;2017-11-03 00:00:00.000;NULL;10.15;10.15;13.95;0032;P0101
